Zip,City,State,Latitude,Longitude
81654,Snowmass,CO,39.2546,-106.9789
81520,Clifton,CO,39.0860,-108.4444
80165,Littleton,CO,39.7388,-104.4083
81425,Olathe,CO,38.6054,-108.0098
80917,Colorado Springs,CO,38.8884,-104.7398
80117,Kiowa,CO,39.3825,-104.4285
80473,Rand,CO,40.4558,-106.2014
80945,Colorado Springs,CO,38.8247,-104.5620
81252,Westcliffe,CO,38.1307,-105.4580
81501,Grand Junction,CO,39.0728,-108.5500
80038,Broomfield,CO,40.0878,-105.3735
80275,Denver,CO,39.7388,-104.4083
81021,Arlington,CO,38.4143,-103.3782
80722,Atwood,CO,40.5316,-103.2615
80937,Colorado Springs,CO,38.8247,-104.5620
80931,Colorado Springs,CO,38.9530,-104.6092
80028,Louisville,CO,40.0878,-105.3735
80921,Colorado Springs,CO,39.0450,-104.8376
81014,Pueblo,CO,38.1286,-104.5523
80808,Calhan,CO,38.9774,-104.3202
80428,Clark,CO,40.8545,-106.9244
81326,Hesperus,CO,37.1313,-108.1573
80328,Boulder,CO,40.0878,-105.3735
80442,Fraser,CO,39.9492,-105.8344
81226,Florence,CO,38.3871,-105.1226
81419,Hotchkiss,CO,38.8192,-107.7370
80941,Colorado Springs,CO,38.8247,-104.5620
80004,Arvada,CO,39.8143,-105.1226
80947,Colorado Springs,CO,38.8247,-104.5620
80944,Colorado Springs,CO,38.8247,-104.5620
81433,Silverton,CO,37.8683,-107.6222
80102,Bennett,CO,39.7606,-104.4310
80728,Fleming,CO,40.6208,-102.8481
81101,Alamosa,CO,37.4718,-105.8347
80526,Fort Collins,CO,40.5394,-105.1158
81011,Pueblo,CO,38.1286,-104.5523
80517,Estes Park,CO,40.3704,-105.5172
80622,Galeton,CO,40.5362,-104.5007
81241,Pitkin,CO,38.6076,-106.5204
80474,Rollinsville,CO,39.9089,-105.5706
80215,Denver,CO,39.7444,-105.1044
80255,Denver,CO,39.7388,-104.4083
80002,Arvada,CO,39.7950,-105.0981
80545,Red Feather Lakes,CO,40.8250,-105.6353
80025,Eldorado Springs,CO,39.9293,-105.2886
81127,Chimney Rock,CO,37.2181,-107.3445
81221,Coal Creek,CO,38.3615,-105.1475
81524,Loma,CO,39.2386,-108.7889
80136,Strasburg,CO,39.7769,-104.3100
80290,Denver,CO,39.7441,-104.9870
80863,Woodland Park,CO,38.9960,-105.0634
80950,Colorado Springs,CO,38.8247,-104.5620
80536,Livermore,CO,40.8783,-105.4042
80112,Englewood,CO,39.5795,-104.8829
80743,Otis,CO,40.2151,-102.9563
80208,Denver,CO,39.7388,-104.4083
80654,Wiggins,CO,40.1963,-104.0736
81236,Nathrop,CO,38.7202,-106.1880
80905,Colorado Springs,CO,38.8375,-104.8363
81420,Lazear,CO,38.7817,-107.7808
81430,Placerville,CO,38.0868,-108.0033
80623,Gilcrest,CO,40.2832,-104.7788
81418,Eckert,CO,38.8424,-107.9609
80261,Denver,CO,39.7379,-104.9850
80252,Denver,CO,39.7388,-104.4083
80227,Denver,CO,39.6686,-105.0919
80015,Aurora,CO,39.6239,-104.7772
80483,Yampa,CO,40.1494,-106.9068
81246,Canon City,CO,38.4776,-105.4766
81235,Lake City,CO,37.9612,-107.2995
80522,Fort Collins,CO,40.6429,-105.0570
80523,Fort Collins,CO,40.4555,-105.4648
80455,Jamestown,CO,40.0948,-105.3984
80735,Idalia,CO,39.7098,-102.2404
80751,Sterling,CO,40.6338,-103.2157
80539,Loveland,CO,40.3864,-105.1634
80127,Littleton,CO,39.5998,-105.1305
81134,Garcia,CO,37.0922,-105.5300
81047,Holly,CO,38.0606,-102.1968
80273,Denver,CO,39.7273,-104.9875
80612,Carr,CO,40.8865,-104.8745
80544,Niwot,CO,40.1770,-105.2750
